Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0201,2,0.1µ,
D1,0201,1,1N4148,
J1,Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal,1,Midi In 0,
J20,Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal,1,Midi Out 0,
J21,Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal,1,Midi Out 1,
J22,Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal,1,Midi Out 2,
J25,Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal,1,Midi Out 3,
J26,Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal,1,Midi Out 4,
J27,Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal,1,Midi Out 5,
J28,Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal,1,Sync Out 0,
J29,Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal,1,Sync Out 1,
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R3, R4, R5, R6, R7, R8, R9",0201,17,220,
"R19, R20",0201,2,1k,
R2,0201,1,10k,
U1,SOIC-24W_7.5x15.4mm_P1.27mm,1,CD74HC4067SM,
U2,SOIC-20W_7.5x12.8mm_P1.27mm,1,74LS241,
U3,SOP-8_6.62x9.15mm_P2.54mm,1,6N138,
